metrics/success_rate,time/fps,metrics/episodes,metrics/collision_rate,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,train/value_loss,train/clip_range,train/clip_fraction,eval/mean_ep_length,train/n_updates,eval/mean_reward,train/policy_gradient_loss,train/learning_rate,train/approx_kl,train/explained_variance,train/loss,train/entropy_loss
0.09,6,100,0.91,1,-45.052649939999995,10.53,8192,1246,,,,,,,,,,,,
0.075,,200,0.925,,,,10000,,428.05675703287125,0.2,0.1330322265625,25.7,10,-8.293699799999999,-0.009692410730713164,0.0003,0.010780096,0.0035609006881713867,150.93844604492188,-1.5994255981408059
0.06333333333333334,4,300,0.9366666666666666,2,-40.09441073000001,13.37,16384,3379,,,,,,,,,,,,
,,,,,,,20000,,410.5974441051483,0.2,0.14166259765625,15.1,20,-40.6675,-0.012597582076705294,0.0003,0.011070892,0.5317845344543457,284.7342834472656,-1.5727574408054352
0.09,5,400,0.91,3,-32.00215467,16.29,24576,4642,,,,,,,,,,,,
0.116,,500,0.884,,,,30000,,659.3165718317032,0.2,0.099853515625,28.2,30,8.9725,-0.00817725100023381,0.0003,0.008727004,0.5503785014152527,314.6142883300781,-1.5337884267792106
,5,,,4,-30.468586679999998,16.86,32768,5943,,,,,,,,,,,,
0.14166666666666666,,600,0.8583333333333333,,,,40000,,870.1976524353028,0.2,0.08900146484375,17.4,40,-30.6375,-0.0074314542343927315,0.0003,0.0061449977,0.5729706287384033,411.8115234375,-1.4938046385534107
,5,,,5,-22.069897580000006,20.03,40960,7231,,,,,,,,,,,,
0.16428571428571428,5,700,0.8357142857142857,6,-6.66152167,23.7,49152,8488,833.6742127656937,0.2,0.09730224609375,,50,,-0.007610815714542696,0.0003,0.008025189,0.5464305877685547,286.91961669921875,-1.4435432911850512
,,,,,,,50000,,912.2103318929672,0.2,0.0624755859375,25.9,60,-1.0849999999999986,-0.005297620094279409,0.0003,0.00676727,0.5826661586761475,424.13916015625,-1.4003188639879227
0.18875,5,800,0.81125,7,-11.377014960000002,22.53,57344,9779,,,,,,,,,,,,
,,,,,,,60000,,1130.8387175559997,0.2,0.06751708984375,20.2,70,-20.759999999999998,-0.006716679253804614,0.0003,0.008767923,0.5687684416770935,409.0797119140625,-1.351815383695066
0.20555555555555555,5,900,0.7944444444444444,8,-12.044340670000002,22.91,65536,11058,,,,,,,,,,,,
0.22,,1000,0.78,,,,70000,,1299.8854816913604,0.2,0.072265625,24.8,80,-10.809999999999999,-0.006933942943214788,0.0003,0.009392817,0.6111271381378174,677.3466796875,-1.2957173663191497
,5,,,9,-1.7174841899999995,25.35,73728,12343,,,,,,,,,,,,
0.2381818181818182,,1100,0.7618181818181818,,,,80000,,1315.2616140842438,0.2,0.057763671875,27.8,90,8.99,-0.0049286524677881974,0.0003,0.007215061,0.6500120759010315,992.61376953125,-1.306388870254159
,6,,,10,-9.483168000000001,22.74,81920,13646,,,,,,,,,,,,
0.25,,1200,0.75,,,,90000,,1397.9311273574829,0.2,0.05228271484375,24.2,100,-10.907499999999999,-0.004246485112889786,0.0003,0.005968093,0.671696126461029,862.2318115234375,-1.2432153290137649
,6,,,11,7.77536232,28.33,90112,14950,,,,,,,,,,,,
0.2692307692307692,6,1300,0.7307692307692307,12,-10.40679867,22.29,98304,16234,1666.1847538471222,0.2,0.0475830078125,,110,,-0.003671482635763823,0.0003,0.0059649562,0.6428418159484863,1002.603515625,-1.219669058918953
,,,,,,,100000,,1965.1877028465271,0.2,0.0402099609375,22.5,120,-10.7025,-0.004411880134648527,0.0003,0.005622863,0.6174290180206299,645.7474365234375,-1.1699118928983807
,6,,,13,7.31089958,28.39,106496,17544,,,,,,,,,,,,
